İl,Yatırım Konusu
Sivas,Ulaşım Araçlarında Kullanılan Elektriksel ve Diğer Ara Bağlantı Sistemleri / Ekipmanları İmalatı (Kablo bağlantı elemanları vb.)
Sivas,Alçı Plaka Üretimi
Sivas,Optik Ürünler İmalatı
Şanlıurfa,"Selüloz ve Selüloz Bazlı Kimyasal Ürünler Üretimi (Selüloz, selüloz asetat vb.)"
Şanlıurfa,Taş Yünü Üretimi
Şanlıurfa,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Şanlıurfa,"Koyun Yapağısından Katma Değerli Ürün Üretimi (Yün ipliği, çözgü ipi, keçe ve temizlenmiş yün vb.)"
Şırnak,Mobilya Üretimi
Şırnak,Asfaltitin Gazlaştırılması Tesisi
Şırnak,"Yer Fıstığı İşleme Tesisi (Yer fıstığı ezmesi/kreması/draje/krokan, yer fıstığı sütü, prebiyotik ürünler, enzimler, yer fıstığı proteini ve izolatları, biyoplastik ürünleri, yer fıstığı zindelik ve sağlık ürünleri vb.)"
Şırnak,"Kara Taşıtlarının Diğer Aksam ve Parçaları Üretimi (Tır, dorse, kamyonların motor parçaları, yedek parça, ekipmanları ve aksesuarları vb.)"
Tekirdağ,Asgari 2000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Tekirdağ,Akıllı Küçük Ev Aletleri Üretimi
Tekirdağ,"Tıbbı Araç Gereç İmalatı (Steril kan tüpü, steril tek/çok dozlu şişe, solunum devresi vb.)"
Tekirdağ,Tekstil Boyama ve Benzeri Tekstil Makineleri İmalatı
Tokat,"Meyve ve Atıklarından Katma Değerli Ürünler Üretimi (Meyve tozu/granül, pektin, selüloz, hemiselüloz vb.)"
Tokat,"Yüksek Ekonomik Değere Sahip Endüstriyel Süt Ürünleri Üretimi (Çiğ süt, süt asidi, kazein, süt protein izolatı/ süt protein konsantresi, rennet kazein, peynir altı suyu protein izolatı/konsantresi, saf rafine laktoz vb.)"
Tokat,"Maya Üretim Tesisi (Kuru maya, yaş maya vb.)"
Tokat,Asgari 500 Baş Manda Süt Hayvancılığı ve Süt Ürünleri Üretim Tesisi
Trabzon,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Trabzon,Elektrikli Tekne ve Yat Üretimi
Trabzon,"Endüstriyel Ağ ve Benzeri Ürünler Üretimi (Gırgır ağları, kafes balıkçılığı ağları, trol ağları, güvenlik ağları vb.)"
Trabzon,Tıbbi ve Aromatik Bitkilerden Biyoaktif Potansiyelli Ürünler ve Katma Değerli Ürünler İmalatı
Tunceli,Beş Yıldızlı Konaklama Tesisi
Tunceli,Dört Yıldız ve Üzeri Termal Konaklama Kompleksi
Tunceli,"Doğa Temelli Turizm Merkezi (sağlık kompleksi, ekoturizm merkezi, macera parkı, apiterapi, konaklama vb.)"
Tunceli,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Uşak,"Medikal Tekstil Ürünleri Üretimi (Medikal yastık/yorgan, sargı bezi, yara bandı, alçı bezi vb.)"
Uşak,"Teknik ve Endüstriyel Keçe ve Keçe Malzemeleri İmalatı (Plastik emdirilmiş, sıvanmış, kaplanmış, plastik ile lamine edilmiş mensucat vb.)"
Uşak,"Tekstil Kimyasalları Üretimi (Sentetik kıvamlaştırıcılar, hidrojene olan yağlar,"
Uşak,silikon yağları vb. tekstil kimyasalları)
Uşak,"Tekstil Makinaları İmalatı (Telef açma, iplik üretimi, dokuma, terbiye, keçe, halı üretim makineleri vb.)"
Van,Taş Yünü Üretimi
Van,"Koyun Yapağısından Katma Değerli Ürün Üretimi (Yün ipliği, çözgü ipi, keçe ve temizlenmiş yün vb.)"
Van,"Hazır Giyim ve Konfeksiyon Sektöründe İleri-Geri Bağlantılı Ürünlerin Üretimi (Dokuma/örme kumaş, iplik, etiket, fermuar, düğme vb.)"
Van,"Van Gölü 5 Yıldızlı Konaklama Tesisi (dalış merkezi, aquapark, kongre alanları, havuz, binicilik vs.)"
Yalova,Otomotiv Sektörüne Yönelik Kauçuklu Parça Üretimi
Yalova,"Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi (Aronya vb. işleme, süperkritik ekstraksiyon)"
Yalova,Akıllı Sulama ve İklimlendirme Sistemleri Üretimi
Yalova,Gemi Motoru Üretimi
Yozgat,"Paketlenmiş Hazır Gıda Üretim Tesisi (Savunma sanayine yönelik gıda üretimi, hazır yemek kiti vb.)"
Yozgat,"Bakliyat Ürünlerinden Katma Değerli Hazır Gıda Üretimi (Baklagil unu, nohut kabuğu, nohut cipsi, nohut protein tozu, baklagil ekmeği, baklagil bulguru, baklagil keki, baklagil krakerleri, baklagil makarnası, baklagil sütü, baklagil konservesi, nohut pufu, humus, baklagil barı, kraker vb.)"
Yozgat,"Tarım ve Bahçecilik Makinalarının Aksam ve Parçaları İmalatı (Pulluk, kültivatör, gübre dağıtım makineleri vb.)"
Yozgat,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Zonguldak,Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi
Zonguldak,"(Defne esansı, defne yağı, defne aroması, defne yağı bazlı masaj yağları, defne kolonyası, defne tohumları, kurutulmuş yaprak vb.)"
Zonguldak,"Entegre Su Ürünleri Üretim ve İşleme Tesisi (Deniz alabalığı, işlenmiş balık çeşitleri, taze temizlenmiş balık, fileto balık, dondurulmuş balık, deniz salyangozu vb.)"
Zonguldak,"Yassı Çelik Tabanlı Yüksek Katma Değerli Ürün Üretimi (Yüksek nitelikli bağlantı elemanları, özel amaçlı basınçlı kaplar, endüstriyel borular, araç alt parçaları ve makine-teçhizat bileşenleri vb.)"
Zonguldak,Ağaç ve Orman Ürünleri Entegre İşleme Tesisi
