Madde No,Başlık,İçerik
19,,"– (Değişik:RG-27/4/2021-31467) (1) (Değişik:RG-26/7/2024-32613) Yatırımcı, üretime yönelik yatırım süreci içerisinde KOSGEB ve Bakanlık tarafından desteklenmekte olan yatırım kısımlarının her biri için en fazla altı defa revizyon talebinde bulunabilir. Revizyon talebi, Program Portali üzerinden yapılır. (2) (Değişik:RG-26/7/2024-32613) Yatırımcı, üretime yönelik yatırım sürecine ilişkin revizyon taleplerini Program Portali üzerinden yapar. Bir revizyon talebi yapılması üzerinden 6 ay geçmeden yeni bir revizyon talebi yapılamaz. (3) (Değişik:RG-26/7/2024-32613) Ar-Ge süreci desteklerinden yararlanması uygun bulunan projeler için, Ar-Ge sürecine ilişkin revizyon talebi doğrudan TÜBİTAK tarafından karara bağlanarak Genel Müdürlüğe bildirilir. Talep edilen Ar-Ge revizyonlarının proje kapsamında Komite tarafından uygun görülen nihai hedefleri etkileyecek mahiyette olması durumunda, Genel Müdürlük tarafından TÜBİTAK revizyon talebi Komite takdirine arz edilebilir. Ar-Ge sürecine ilişkin yapılan revizyonlara bağlı olarak üretime yönelik yatırım sürecinde yapılan revizyonlar, yatırımcının üretime yönelik yatırım süresi boyunca talep etme hakkı bulunan revizyon sayısı kapsamı dışında değerlendirilir. (4) (Değişik:RG-9/7/2025-32951) Teşvik belgesi kapsamında desteklenen projeler için; yatırım unsurlarında bir değişiklik oluşturmadan sadece fiyat güncellemesi içeren değişiklik talepleri, herhangi bir oran sınırlamasına tabi olmaksızın TUYSGM tarafından sonuçlandırılır. Yatırımın karakteristiğine ilişkin bir değişiklik oluşturmadan yatırım unsurlarındaki ekleme ve çıkarma gibi işlemlerden kaynaklı değişikliğe uğrayan kalemler açısından, proje için yatırım büyüklüğünün belirlendiği ilk Komite Kararı veya değişikliğe uğradığı son Komite Kararının alındığı yıldan itibaren işlemin yapıldığı yıla kadar yeniden değerleme oranının uygulanmasıyla güncellenmiş tutarın yüzde 25 azı veya fazlası ile belirlenen aralık dikkate alınır. Teşvik belgesine kayıtlı öngörülen sabit yatırım büyüklüğünün; bu aralığın dışına çıkmasına neden olmayan değişiklik talepleri de TUYSGM tarafından sonuçlandırılır. Ayrıca, TÜBİTAK veya KOSGEB tarafından destek kapsamına alınmış olan yatırım unsurları, yatırımcının talebi olması halinde ve yatırım teşvik mevzuatına uygun olmak koşuluyla yeni bir Komite Kararına ihtiyaç olmaksızın TÜBİTAK veya KOSGEB destek kapsamından çıkarılmış olmak kaydıyla teşvik belgesi kapsamına dahil edilebilir. Bu çerçevede doğrudan TUYSGM tarafından yapılan değişiklikler, yatırımcının üretime yönelik yatırım süresi boyunca talep etme hakkı bulunan revizyon sayısı kapsamı dışında değerlendirilir ve 6 aylık yeniden revizyon talebinde bulunma süresinin uygulanması açısından dikkate alınmaz. Ayrıca, bu çerçevede yapılan değişikliklerin Genel Müdürlüğe bildirilerek proje dosyasına eklenmesi zorunludur. KOSGEB tarafından desteklenmesi kararlaştırılmış yatırım süreçleri açısından, KOSGEB Stratejik Ürün Destek Programı kapsamındaki faaliyet-zaman planı ve gider kalemlerinde değişiklik yapılmasına ilişkin revizyon talepleri doğrudan KOSGEB tarafından karara bağlanarak Genel Müdürlüğe bildirilir. (5) (Değişik:RG-26/7/2024-32613) Üretime yönelik yatırım desteklerinden yararlanmakta olan projeler için dördüncü fıkrada tanımlanmış değişiklikler haricindeki değişiklikleri içeren revizyon talepleri, revizyonun KOSGEB tarafından desteklenmesi kararlaştırılmış yatırım süreçlerini kapsaması halinde, KOSGEB tarafından, yatırım teşvik belgesi kapsamındaki yatırım süreçlerini kapsaması halindeyse TUYSGM tarafından ilgili süreçlerin incelenmesinin tamamlanmasını müteakiben, Genel Müdürlük aracılığıyla Komiteye sunulur. Yatırımcı, revizyon sürecinde Genel Müdürlük tarafından projenin ilerlemesine ilişkin görüşlerini belirtmek üzere proje sunumuna davet edilebilir. Genel Müdürlük tarafından revizyon talebine ilişkin görüş oluşturularak Komiteye sunulur. (6) Revizyon yapılmasının öngörüldüğü durumlarda, sağlanması öngörülen on yıllık katma değer tutarı hedefi de revizyon kapsamında yapılması öngörülen değişiklikler dikkate alınarak yatırımcı tarafından revize edilir. (7) (Değişik:RG-26/7/2024-32613) Komite, yatırımcının talebi üzerine veya izleme sürecinde sunulan bilgilere istinaden projeler hakkında resen revizyon değerlendirmesi yapmaya ve revizyon kararı almaya yetkilidir. 15 inci maddenin üçüncü fıkrası kapsamında sağlanan desteklere ilişkin revizyon kararları TUYSGM tarafından Cumhurbaşkanının onayına sunulur. Sonlandırma"
20,,"– (Değişik:RG-27/4/2021-31467) (1) Komite, izleme dönemlerinde sunulan bilgilere istinaden yatırım projesinin başlangıcından itibaren gerçekleşen toplam yatırım projesi tutarının güncel değerinin, ilgili izleme dönemine kadar gerçekleşmesi öngörülen toplam yatırım projesi tutarının güncel değerinin yüzde ellisinden az olması halinde, bu duruma yol açan nedenleri değerlendirerek proje bazında sonlandırma kararı almaya yetkilidir. 15 inci maddenin üçüncü fıkrası kapsamında Bakanlık desteklerinden yararlandırılan projeler için sonlandırma kararı Cumhurbaşkanının onayına sunulur. (2) TÜBİTAK tarafından desteklenen Ar-Ge faaliyetleri içeren projelerde, Ar-Ge aşaması devam etmekteyken TÜBİTAK, ilgili destek programının uygulama esasları hükümleri çerçevesinde sonlandırma kararı almaya yetkilidir. TÜBİTAK tarafından sonlandırma kararı alınan projeler için TÜBİTAK tarafından ilgili mevzuat hükümleri uygulanır. Diğer destek unsurları açısından projenin desteklenip desteklenmeyeceğine Komite karar verir. (3) KOSGEB tarafından desteklenen faaliyetleri içeren projelerde, KOSGEB tarafından belirlenen Stratejik Ürün Destek Programı Uygulama Esasları hükümleri çerçevesinde sonlandırma kararı almayı gerektiren durumlarda KOSGEB tarafından Komiteye görüş sunulabilir. KOSGEB destekleri açısından sonlandırma kararı verilmesi durumunda sağlanmış olan KOSGEB desteklerinin geri alınıp alınmayacağına ve diğer destek unsurları açısından projenin desteklenip desteklenmeyeceğine Komite karar verir. (4) (Değişik:RG-9/7/2025-32951) Teşvik belgesi kapsamında desteklenmekteyken, Komite tarafından veya Cumhurbaşkanınca sonlandırma kararı verilen projeler, Program kapsamından çıkarılır. Bu projeler için, TUYSGM tarafından değerlendirme yapılarak diğer teşvik uygulamalarından yatırımın niteliklerine göre en uygun görülen program kapsamında teşvik belgesi düzenlenebilir. Bu durumda olan projeler için tabi oldukları yeni teşvik uygulamasına kıyasla Program kapsamında fazladan sağlanmış olan destek unsurları ilgili mevzuat hükümlerine göre geri alınır. Yeni bir teşvik uygulamasına geçirilmeyerek teşvik belgesi sonlandırılan yatırımlar için ise ilgili mevzuat hükümleri çerçevesinde sağlanan destekler geri alınır. (5) (Ek:RG-26/7/2024-32613) Program kapsamında kabul kararı alınmış projeler için tanımlanmış olan destekler, firmanın Programdan ayrılma veya projeden çekilme talebinde bulunması halinde sonlandırılır. Destek süreçlerinin sonlandırılmasına yönelik işlemler, Genel Müdürlük koordinasyonunda ilgili mevzuat hükümleri dikkate alınarak KOSGEB/TÜBİTAK/TUYSGM tarafından yürütülür. Tamamlama"
21,SEKİZİNCİ BÖLÜM(9),"– (Değişik:RG-27/4/2021-31467) (1) (Değişik:RG-9/7/2025-32951) Yatırım projesi kapsamında öngörülen üretime yönelik yatırım süresinin bitiminden sonra yatırımcı, üç ay içerisinde projenin tamamlanma durumu konusunda karar alınması talebiyle Program Portali üzerinden başvuruda bulunur. Yatırımcının bu süre zarfında başvuruda bulunmaması halinde, Genel Müdürlük tarafından resen tamamlama süreci başlatılır. Desteklere konu olan ilgili yatırım unsurlarının hedeflere uygun olarak tamamlanma durumu, sorumlu bulunulan desteklere göre TUYSGM ve/veya KOSGEB tarafından yerinde inceleme yapılarak tespit edilir. İlgili projeden sorumlu olan proje koordinatörü tamamlama döneminde yerinde inceleme çalışmalarına gözlemci sıfatıyla katılım sağlayabilir. TUYSGM ve/veya TUYSGM tarafından 9903 sayılı Karar kapsamında görevlendirilecek kurum ve kuruluşlar tarafından başarısızlıkla tamamlandığı tespit edilen projeler, Program kapsamından çıkarılır. Bu projeler için, TUYSGM tarafından değerlendirme yapılarak diğer teşvik uygulamalarından yatırımın niteliklerine göre en uygun görülen program kapsamında teşvik belgesi düzenlenebilir. Bu durumda olan projeler için, tabi oldukları yeni teşvik uygulamasına kıyasla Program kapsamında fazladan sağlanmış olan destek unsurları ilgili mevzuat hükümlerine göre geri alınır. Yeni bir teşvik uygulamasına geçirilmeyerek belgesi sonlandırılan yatırımlar için ise ilgili mevzuat hükümleri çerçevesinde sağlanan destekler geri alınır. (2) (Değişik:RG-26/7/2024-32613) Başarılı bir şekilde tamamlanan projeler için, proje faaliyetlerinin tamamlanması sonrası izleme sürecine on yıl boyunca devam edilir. (3) Proje faaliyetlerinin tamamlanması sonrası izleme süreci boyunca, her yılın ilk izleme döneminde, yatırımcıya sağlanan toplam destek düzeyinin güncel değeri, proje sürecinin başından beri yıllık bazda sağlanan toplam destek tutarı, sigorta primi (Değişik ibare:RG-9/7/2025-32951) desteği ve sigorta primi işveren hissesi desteği kapsamında sağlanan desteklerin brüt asgari ücret artış oranıyla, fiili yatırım harcaması nedeniyle hak kazanılmış yatırıma katkı tutarının güncel değeri ve diğer destek unsurları kapsamında sağlanan desteklerin ise yeniden değerleme oranıyla güncellenmiş hallerinin toplanması suretiyle hesaplanır. (4) Projenin beş yıllık işletme süresini takip eden izleme döneminde, başvuruda öngörülen yıllık katma değer tutarlarının güncel değerleri, yeniden değerleme oranları kullanılarak hesaplanır. Bu değerlerin toplanması suretiyle işletme döneminin ilk beş yılı için hedeflenen birikimli katma değer tutarının güncel değeri elde edilir. (5) Proje faaliyetlerinin tamamlanması sonrası izleme süreci boyunca, her yılın ilk izleme döneminde, proje kapsamında sağlanan birikimli katma değer tutarı, yatırımcı tarafından yeminli mali müşavir raporları ile tevsik edilen yıllık katma değer tutarlarının güncel değerlerinin toplanması suretiyle hesaplanır. (6) Aşağıdaki bentlerde sayılan hallerin gerçekleşmesi durumunda, 15 inci maddenin ikinci fıkrası kapsamında sağlanan Bakanlık destekleri sonlandırılır; 15 inci maddenin üçüncü fıkrası kapsamında sağlanan Bakanlık desteklerinin sonlandırılması hususu Cumhurbaşkanının onayına sunulur: a) Beş yıllık işletme dönemi sonunda, beşinci fıkraya göre hesaplanan beş yıllık birikimli katma değer tutarının, dördüncü fıkraya göre hesaplanan hedeflenen beş yıllık birikimli katma değer tutarının yüzde ellisini aşamadığının tespit edilmesi. b) Üçüncü fıkraya göre hesaplanan yatırımcıya sağlanan toplam destek düzeyinin güncel değerinin, proje faaliyetleri kapsamında gerçekleştirilen harcamaların toplam güncel değerini geçtiğinin tespit edilmesi. (7) Yatırımcı tarafından talep edilmesi halinde, altıncı fıkrada yer alan hükümler çerçevesinde destekleri sonlandırılan projeler için TUYSGM tarafından yapılacak değerlendirme sonucunda, tamamlama vizesi aşamasında yapılmış olan tespitler dikkate alınarak diğer teşvik uygulamaları çerçevesinde teşvik belgesi düzenlenebilir. Bu fıkra kapsamında teşvik belgesi uygulamasının değiştirilmesi durumunda, Program kapsamında sağlanan destekler durdurulur ve varsa fazladan sağlanan destekler geri alınmaz. Yatırım projeleri, tabi oldukları yeni teşvik uygulamasına göre varsa kalan sürede işletme dönemi desteklerini almaya devam eder. Çeşitli ve Son Hükümler Diğer hükümler"
22,,"– (Değişik:RG-9/7/2025-32951) (1) Bu Tebliğde hüküm bulunmayan konulardan TÜBİTAK ve KOSGEB desteklerine ilişkin olanlar için ilgili kurumların mevzuat hükümleri uygulanır. Bakanlık destekleri ve diğer hüküm bulunmayan konularda ise 21/6/2025 tarihli ve 32933 sayılı Resmî Gazete’de yayımlanan Yatırımlarda Devlet Yardımları Hakkında Kararın Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2025/1) hükümleri uygulanır. (2) 9903 sayılı Karar ve/veya 2016/9495 sayılı Karar kapsamında süresi devam eden teşvik belgeleri için Program kapsamındaki  desteklerden yararlanmak üzere başvuru yapılamaz. Ayrıca, aynı yatırım projesine yönelik olarak 9903 sayılı Karar ve/veya 2016/9495 sayılı Karar kapsamındaki diğer uygulamalar için Bakanlığa başvurulması halinde Programa başvuru yapılamaz. (3) Program kapsamında değerlendirme süreci devam eden yatırım projeleri için, yatırımcı, Sektörel Teşvik Sistemi kapsamında yer alan diğer teşvik uygulamalarından yararlanmak amacıyla Programa kesin başvuru tarihinden itibaren geçerli olmak üzere teşvik belgesi başvurusu yapabilir. Program kapsamındaki başvurunun olumlu sonuçlanması durumunda Sektörel Teşvik Sistemi kapsamında düzenlenen belgeye ilişkin destekler Teknoloji Hamlesi Programına uygun olacak şekilde revize edilebilir. (4) Program kapsamında, Program Portali üzerinden yapılacak başvurular için gerçek kişilerin yatırımcılar adına yetkilendirilmesi işlemleri, teşvik belgesi işlemlerinin elektronik ortamda yürütülmesine ilişkin mevzuat hükümlerine göre yapılır. Bir veya daha fazla Ar-Ge yüklenicisiyle ortaklı Ar-Ge yapmayı öngören projeler için Ar-Ge yüklenicisi adına Ar-Ge başvuru formlarını tamamlayacak gerçek kişinin de aynı usulle Ar-Ge yüklenicisi adına yetkilendirmesinin yapılmış olması gerekir. Anılan mevzuat kapsamında yetkilendirilmesi TUYSGM tarafından yapılmış kişiler için tekrar yetkilendirme yapılması gerekmez. Yetkilendirilmesi yeni yapılacak başvuru sahiplerinin, kesin başvuru yapmaya hak kazanabilmeleri için yetkilendirme işlemini tamamlamış olmaları gerekir."
GEÇİCİ 1,,"– (Ek:RG-5/12/2019-30969) (1) Bu maddeyi ihdas eden Tebliğ, yayımı tarihinde açık bulunan çağrı planlarının devam etmekte olan süreçlerine de uygulanır."
GEÇİCİ 2,,"– (Ek:RG-19/6/2020-31160) (1) Bu maddeyi ihdas eden Tebliğ, yayımı tarihinde açık bulunan çağrı planlarının devam etmekte olan süreçlerine de uygulanır."
GEÇİCİ 3,,"(Değişik:RG-26/7/2024-32613) (1) Bu maddeyi ihdas eden Tebliğ, yayım tarihinden önce yapılmış olan revizyon taleplerinin değerlendirilmesi açısından da uygulanır. Ancak bu talepler için altı aylık yeniden revizyon başvurusu yapılamaması süresi işletilmez."
GEÇİCİ 4,,"– (Ek:RG-9/7/2025-32951) (1) Bu maddeyi ihdas eden Tebliğin yayımı tarihinden önce yapılmış olan başvurular ve bu başvurulara ilişkin Komite Kararlarına yönelik tüm işlemler, 19 uncu maddenin dördüncü fıkrası kapsamında yapılan revizyon talepleri hariç olmak üzere başvuru tarihinde yürürlükte olan mevzuat hükümlerine göre sonuçlandırılır. (2) 1/8/2024 tarihi itibarıyla açılan Yükselen Yenilikçi Teknolojiler Çağrısına başvurmuş olup Komite değerlendirme sürecinde desteklenmesi uygun bulunmayan projeler için, başvuru tarihi itibarıyla yürürlükte olan diğer teşvik uygulamalarından uygun olanı kapsamında yatırımcının talep etmesi halinde teşvik belgesi başlangıç tarihi, Programa kesin başvuru tarihi olacak şekilde teşvik belgesi düzenlenebilir. Yürürlük"
23,,– (1) Bu Tebliğ yayımı tarihinde yürürlüğe girer. Yürütme
24,,"– (1) Bu Tebliğ hükümlerini Sanayi ve Teknoloji Bakanı yürütür. ___________________ (1) 5/12/2019 tarihli ve 30969 sayılı Resmî Gazete’de yayımlanan değişiklikle Yönetmeliğin 10 uncu maddesine bu fıkra eklenmiş ve diğer fıkralar buna göre teselsül ettirilmiştir. (2) 19/6/2020 tarihli ve 31160 sayılı Resmî Gazete’de yayımlanan değişiklikle bu bölüm başlığı “Komite, Proje Yönetim Ofisi, Proje Komisyonu ve Proje Paydaşı” iken metne işlendiği şekilde değiştirilmiştir. (3) 26/7/2024 tarihli ve 32613 sayılı Resmî Gazete’de yayımlanan değişiklikle bu bölüm başlığı “Komite, Program Yönetimi, Proje Komisyonu ve Proje Paydaşı” iken metne işlendiği şekilde değiştirilmiştir. (4) 27/4/2021 tarihli ve 31467 sayılı Resmî Gazete’de yayımlanan değişiklikle bu bölüm başlığı “Başvuru, Başvuruların Değerlendirilmesine ve Destek Unsurlarına İlişkin Esaslar” iken metne işlendiği şekilde değiştirilmiştir. (5) 9/7/2025 tarihli ve 32951 sayılı Resmî Gazete’de yayımlanan değişiklik ile Tebliğin adı “Teknoloji Odaklı Sanayi Hamlesi Programı Uygulama Usul ve Esasları Tebliği” iken metne işlendiği şekilde değiştirilmiştir. (6) 26/7/2024 tarihli ve 32613 sayılı Resmî Gazete’de yayımlanan değişiklik ile bu Tebliğe 12 nci maddesinden sonra gelmek üzere Beşinci Bölüm başlığı eklenmiştir. (7) 26/7/2024 tarihli ve 32613 sayılı Resmî Gazete’de yayımlanan değişiklik ile bu Tebliğe 13/C maddesinden sonra gelmek üzere Altıncı Bölüm başlığı eklenmiştir. (8) 26/7/2024 tarihli ve 32613 sayılı Resmî Gazete’de yayımlanan değişiklik ile bu Tebliğdeki mevcut “BEŞİNCİ BÖLÜM” ibaresi “YEDİNCİ BÖLÜM” şeklinde değiştirilmiştir. (9) 26/7/2024 tarihli ve 32613 sayılı Resmî Gazete’de yayımlanan değişiklik ile bu Tebliğdeki mevcut “ALTINCI BÖLÜM” ibaresi “SEKİZİNCİ BÖLÜM” şeklinde değiştirilmiştir. Tebliğin Yayımlandığı Resmî Gazete’nin Tarihi Sayısı 18/9/2019 30892 Tebliğde Değişiklik Yapan Tebliğlerin Yayımlandığı Resmî Gazetelerin Tarihi Sayısı 1. 5/12/2019 30969 2. 19/6/2020 31160 3. 27/4/2021 31467 4. 26/7/2024 32613 5. 9/7/2025 32951"
